dustrate,dustrad,site,spinrun,climatefiles,duration,dustsp,dustsp_2nd,dustrate_2nd,add_secondary,imix,singlerun_seasonality,include_psd_full,include_psd_bulk,poro_iter_field,poro_evol,cec_adsorption_on,climatedir,sa_rule1,sa_rule2,psdrain_log10_sd,psdrain_wt,use_psdrain_datfile,include_roughness_sa,aws_save,aws_bucket,newrun_id,psdrain_meanRad
1500.0,50,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_1500p0_psize_50,5e-05
1500.0,60,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_1500p0_psize_60,6e-05
1500.0,70,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_1500p0_psize_70,7e-05
1500.0,80,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_1500p0_psize_80,8e-05
1500.0,100,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_1500p0_psize_100,0.0001
1500.0,125,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_1500p0_psize_125,0.000125
1500.0,150,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_1500p0_psize_150,0.00015
1500.0,175,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_1500p0_psize_175,0.000175
1500.0,200,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_1500p0_psize_200,0.0002
1500.0,250,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_1500p0_psize_250,0.00025
1500.0,300,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_1500p0_psize_300,0.0003
2000.0,1,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_1,1e-06
2000.0,3,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_3,3e-06
2000.0,6,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_6,6e-06
2000.0,10,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_10,1e-05
2000.0,15,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_15,1.5e-05
2000.0,20,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_20,2e-05
2000.0,30,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_30,3e-05
2000.0,40,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_40,4e-05
2000.0,50,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_50,5e-05
2000.0,60,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_60,6e-05
2000.0,70,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_70,7e-05
2000.0,80,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_80,8e-05
2000.0,100,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_100,0.0001
2000.0,125,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_125,0.000125
2000.0,150,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_150,0.00015
2000.0,175,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_175,0.000175
2000.0,200,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_200,0.0002
2000.0,250,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_250,0.00025
2000.0,300,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2000p0_psize_300,0.0003
2500.0,1,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_1,1e-06
2500.0,3,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_3,3e-06
2500.0,6,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_6,6e-06
2500.0,10,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_10,1e-05
2500.0,15,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_15,1.5e-05
2500.0,20,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_20,2e-05
2500.0,30,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_30,3e-05
2500.0,40,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_40,4e-05
2500.0,50,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_50,5e-05
2500.0,60,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_60,6e-05
2500.0,70,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_70,7e-05
2500.0,80,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_80,8e-05
2500.0,100,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_100,0.0001
2500.0,125,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_125,0.000125
2500.0,150,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_150,0.00015
2500.0,175,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_175,0.000175
2500.0,200,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_200,0.0002
2500.0,250,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_250,0.00025
2500.0,300,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_2500p0_psize_300,0.0003
3000.0,1,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_1,1e-06
3000.0,3,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_3,3e-06
3000.0,6,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_6,6e-06
3000.0,10,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_10,1e-05
3000.0,15,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_15,1.5e-05
3000.0,20,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_20,2e-05
3000.0,30,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_30,3e-05
3000.0,40,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_40,4e-05
3000.0,50,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_50,5e-05
3000.0,60,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_60,6e-05
3000.0,70,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_70,7e-05
3000.0,80,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_80,8e-05
3000.0,100,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_100,0.0001
3000.0,125,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_125,0.000125
3000.0,150,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_150,0.00015
3000.0,175,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_175,0.000175
3000.0,200,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_200,0.0002
3000.0,250,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_250,0.00025
3000.0,300,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3000p0_psize_300,0.0003
3500.0,1,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_1,1e-06
3500.0,3,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_3,3e-06
3500.0,6,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_6,6e-06
3500.0,10,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_10,1e-05
3500.0,15,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_15,1.5e-05
3500.0,20,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_20,2e-05
3500.0,30,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_30,3e-05
3500.0,40,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_40,4e-05
3500.0,50,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_50,5e-05
3500.0,60,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_60,6e-05
3500.0,70,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_70,7e-05
3500.0,80,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_80,8e-05
3500.0,100,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_100,0.0001
3500.0,125,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_125,0.000125
3500.0,150,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_150,0.00015
3500.0,175,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_175,0.000175
3500.0,200,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_200,0.0002
3500.0,250,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_250,0.00025
3500.0,300,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_3500p0_psize_300,0.0003
4000.0,1,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,True,False,False,True,False,NA,False,True,0.05,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_psdfull_site_311a_app_4000p0_psize_1,1e-06
